,state,no_of_households,n_dog_households,n_cat_households,dog_population,cat_population,percent_dog_owners,percent_cat_owners,percent_pet_households
0,Alabama,1828,807,501,1410,1252,44.1,27.4,59.5
1,Arizona,2515,1008,743,1798,1438,40.1,29.6,59.5
2,Arkansas,1148,550,351,1097,810,47.9,30.6,62.4
3,California,12974,4260,3687,6687,7118,32.8,28.3,52.9
4,Colorado,1986,845,642,1349,1191,42.5,32.3,61.3
5,Connecticut,1337,379,427,507,796,28.3,31.9,54.4
6,Delaware,334,113,113,163,187,33.7,33.7,56.6
7,District of Columbia,287,38,33,42,63,13.1,11.6,21.9
8,Florida,7609,2718,2079,4210,4375,35.7,27.3,54.4
9,Georgia,3798,1522,1037,2479,2162,40.1,27.3,55.1
10,Idaho,568,242,196,357,393,42.7,34.6,62.0
11,Illinois,5026,1627,1321,2365,2453,32.4,26.3,51.8
12,Indiana,2478,989,852,1619,1912,39.9,34.4,59.9
13,Iowa,1219,407,370,610,805,33.4,30.3,53.6
14,Kansas,1133,480,378,774,731,42.3,33.3,61.0
15,Kentucky,1777,816,654,1531,1349,45.9,36.8,61.6
16,Louisiana,1702,619,441,1115,877,36.4,25.9,55.1
17,Maine,548,190,254,300,498,34.6,46.4,62.9
18,Maryland,2169,667,645,915,1677,30.8,29.8,52.3
19,Massachusetts,2618,618,892,850,1593,23.6,34.1,50.4
20,Michigan,3804,1318,1192,2036,2420,34.6,31.3,55.4
21,Minnesota,2163,690,643,934,1264,31.9,29.7,53.0
22,Mississippi,1115,504,324,846,668,45.2,29.1,56.4
23,Missouri,2498,1148,805,1978,1653,45.9,32.2,61.4
24,Montana,410,169,138,282,277,41.2,33.6,61.3
25,Nebraska,710,240,222,374,514,33.8,31.3,51.3
26,Nevada,986,366,299,578,625,37.1,30.3,55.6
27,New Hampshire,508,154,174,212,309,30.3,34.2,56.8
28,New Jersey,3177,1028,803,1340,1468,32.4,25.3,50.7
29,New Mexico,773,356,247,703,533,46.0,32.0,67.6
30,New York,7512,2177,2189,3054,4261,29.0,29.1,50.6
31,North Carolina,3701,1491,1090,2518,2220,40.3,29.5,56.4
32,North Dakota,272,98,85,139,174,36.1,31.4,53.9
33,Ohio,4661,1708,1553,2730,3786,36.6,33.3,57.4
34,Oklahoma,1479,638,482,1327,1041,43.2,32.6,58.9
35,Oregon,1505,584,605,917,1185,38.8,40.2,63.6
36,Pennsylvania,5172,1702,1748,2485,3544,32.9,33.8,56.9
37,Rhode Island,434,127,120,161,212,29.3,27.6,53.0
38,South Carolina,1759,678,490,1191,1039,38.6,27.8,54.1
39,South Dakota,333,143,130,220,290,42.8,39.1,65.6
40,Tennessee,2583,1140,770,2157,1749,44.1,29.8,59.6
41,Texas,9002,3960,2544,7163,5565,44.0,28.3,58.5
42,Utah,930,273,229,410,455,29.4,24.6,51.2
43,Vermont,265,100,131,142,234,37.7,49.5,70.8
44,Virginia,3017,1069,876,1699,1855,35.4,29.0,53.4
45,Washington,2632,954,1028,1609,1844,36.3,39.0,62.7
46,West Virginia,765,350,291,648,628,45.8,38.1,62.1
47,Wisconsin,2350,796,776,1138,1510,33.9,33.0,57.5
48,Wyoming,221,86,75,125,144,38.8,33.9,61.8
